image_name,tags
train_185__fliph,agriculture artisinal_mine clear cultivation habitation primary road water
train_185__flipv,agriculture artisinal_mine clear cultivation habitation primary road water
train_185__rot30,agriculture artisinal_mine clear cultivation habitation primary road water
train_185__rot60,agriculture artisinal_mine clear cultivation habitation primary road water
train_185__trans20_10,agriculture artisinal_mine clear cultivation habitation primary road water
train_187,artisinal_mine clear primary road
train_187__fliph,artisinal_mine clear primary road
train_187__flipv,artisinal_mine clear primary road
train_187__rot30,artisinal_mine clear primary road
train_187__rot60,artisinal_mine clear primary road
train_187__trans20_10,artisinal_mine clear primary road
train_192,blow_down clear primary
train_192__fliph,blow_down clear primary
train_192__flipv,blow_down clear primary
train_192__rot30,blow_down clear primary
train_192__rot60,blow_down clear primary
train_192__trans20_10,blow_down clear primary
train_207,bare_ground clear primary road
train_207__fliph,bare_ground clear primary road
train_207__flipv,bare_ground clear primary road
train_207__rot30,bare_ground clear primary road
train_207__rot60,bare_ground clear primary road
train_207__trans20_10,bare_ground clear primary road
train_217,bare_ground clear primary
train_217__fliph,bare_ground clear primary
train_217__flipv,bare_ground clear primary
train_217__rot30,bare_ground clear primary
train_217__rot60,bare_ground clear primary
train_217__trans20_10,bare_ground clear primary
train_230,agriculture bare_ground habitation partly_cloudy primary road
train_230__fliph,agriculture bare_ground habitation partly_cloudy primary road
train_230__flipv,agriculture bare_ground habitation partly_cloudy primary road
train_230__rot30,agriculture bare_ground habitation partly_cloudy primary road
train_230__rot60,agriculture bare_ground habitation partly_cloudy primary road
train_230__trans20_10,agriculture bare_ground habitation partly_cloudy primary road
train_237,artisinal_mine clear primary road water
train_237__fliph,artisinal_mine clear primary road water
train_237__flipv,artisinal_mine clear primary road water
train_237__rot30,artisinal_mine clear primary road water
train_237__rot60,artisinal_mine clear primary road water
train_237__trans20_10,artisinal_mine clear primary road water
train_239,bare_ground clear primary water
train_239__fliph,bare_ground clear primary water
train_239__flipv,bare_ground clear primary water
train_239__rot30,bare_ground clear primary water
train_239__rot60,bare_ground clear primary water
train_239__trans20_10,bare_ground clear primary water
train_245,clear primary blooming
train_245__fliph,clear primary blooming
train_245__flipv,clear primary blooming
train_245__rot30,clear primary blooming
train_245__rot60,clear primary blooming
train_245__trans20_10,clear primary blooming
train_247,agriculture clear cultivation habitation primary road selective_logging
train_247__fliph,agriculture clear cultivation habitation primary road selective_logging
train_247__flipv,agriculture clear cultivation habitation primary road selective_logging
train_247__rot30,agriculture clear cultivation habitation primary road selective_logging
train_247__rot60,agriculture clear cultivation habitation primary road selective_logging
train_247__trans20_10,agriculture clear cultivation habitation primary road selective_logging
train_274,artisinal_mine clear primary road water
train_274__fliph,artisinal_mine clear primary road water
train_274__flipv,artisinal_mine clear primary road water
train_274__rot30,artisinal_mine clear primary road water
train_274__rot60,artisinal_mine clear primary road water
train_274__trans20_10,artisinal_mine clear primary road water
train_281,clear primary selective_logging
train_281__fliph,clear primary selective_logging
train_281__flipv,clear primary selective_logging
train_281__rot30,clear primary selective_logging
train_281__rot60,clear primary selective_logging
train_281__trans20_10,clear primary selective_logging
train_286,agriculture artisinal_mine clear primary water
train_286__fliph,agriculture artisinal_mine clear primary water
train_286__flipv,agriculture artisinal_mine clear primary water
train_286__rot30,agriculture artisinal_mine clear primary water
train_286__rot60,agriculture artisinal_mine clear primary water
train_286__trans20_10,agriculture artisinal_mine clear primary water
train_298,agriculture bare_ground clear cultivation habitation primary
train_298__fliph,agriculture bare_ground clear cultivation habitation primary
train_298__flipv,agriculture bare_ground clear cultivation habitation primary
train_298__rot30,agriculture bare_ground clear cultivation habitation primary
train_298__rot60,agriculture bare_ground clear cultivation habitation primary
train_298__trans20_10,agriculture bare_ground clear cultivation habitation primary
train_319,bare_ground clear road
train_319__fliph,bare_ground clear road
train_319__flipv,bare_ground clear road
train_319__rot30,bare_ground clear road
train_319__rot60,bare_ground clear road
train_319__trans20_10,bare_ground clear road
train_394,blooming clear primary
train_394__fliph,blooming clear primary
train_394__flipv,blooming clear primary
train_394__rot30,blooming clear primary
train_394__rot60,blooming clear primary
train_394__trans20_10,blooming clear primary
train_402,partly_cloudy primary selective_logging
train_402__fliph,partly_cloudy primary selective_logging
train_402__flipv,partly_cloudy primary selective_logging
train_402__rot30,partly_cloudy primary selective_logging
train_402__rot60,partly_cloudy primary selective_logging
train_402__trans20_10,partly_cloudy primary selective_logging
train_408,blooming clear primary
train_408__fliph,blooming clear primary
train_408__flipv,blooming clear primary
train_408__rot30,blooming clear primary
train_408__rot60,blooming clear primary
train_408__trans20_10,blooming clear primary
train_418,bare_ground clear primary water
train_418__fliph,bare_ground clear primary water
train_418__flipv,bare_ground clear primary water
train_418__rot30,bare_ground clear primary water
train_418__rot60,bare_ground clear primary water
train_418__trans20_10,bare_ground clear primary water
train_420,bare_ground clear primary road
train_420__fliph,bare_ground clear primary road
train_420__flipv,bare_ground clear primary road
train_420__rot30,bare_ground clear primary road
train_420__rot60,bare_ground clear primary road
train_420__trans20_10,bare_ground clear primary road
train_430,agriculture blooming clear cultivation primary
train_430__fliph,agriculture blooming clear cultivation primary
train_430__flipv,agriculture blooming clear cultivation primary
train_430__rot30,agriculture blooming clear cultivation primary
train_430__rot60,agriculture blooming clear cultivation primary
train_430__trans20_10,agriculture blooming clear cultivation primary
train_435,bare_ground clear primary
train_435__fliph,bare_ground clear primary
train_435__flipv,bare_ground clear primary
train_435__rot30,bare_ground clear primary
train_435__rot60,bare_ground clear primary
train_435__trans20_10,bare_ground clear primary
train_448,agriculture artisinal_mine clear primary road water
train_448__fliph,agriculture artisinal_mine clear primary road water
train_448__flipv,agriculture artisinal_mine clear primary road water
train_448__rot30,agriculture artisinal_mine clear primary road water
train_448__rot60,agriculture artisinal_mine clear primary road water
train_448__trans20_10,agriculture artisinal_mine clear primary road water
train_451,bare_ground clear primary
train_451__fliph,bare_ground clear primary
train_451__flipv,bare_ground clear primary
train_451__rot30,bare_ground clear primary
train_451__rot60,bare_ground clear primary
train_451__trans20_10,bare_ground clear primary
train_471,agriculture bare_ground clear cultivation primary water
train_471__fliph,agriculture bare_ground clear cultivation primary water
train_471__flipv,agriculture bare_ground clear cultivation primary water
train_471__rot30,agriculture bare_ground clear cultivation primary water
train_471__rot60,agriculture bare_ground clear cultivation primary water
train_471__trans20_10,agriculture bare_ground clear cultivation primary water
train_477,agriculture clear cultivation habitation primary slash_burn
train_477__fliph,agriculture clear cultivation habitation primary slash_burn
train_477__flipv,agriculture clear cultivation habitation primary slash_burn
train_477__rot30,agriculture clear cultivation habitation primary slash_burn
train_477__rot60,agriculture clear cultivation habitation primary slash_burn
train_477__trans20_10,agriculture clear cultivation habitation primary slash_burn
train_486,bare_ground clear primary
train_486__fliph,bare_ground clear primary
train_486__flipv,bare_ground clear primary
train_486__rot30,bare_ground clear primary
train_486__rot60,bare_ground clear primary
train_486__trans20_10,bare_ground clear primary
train_499,bare_ground clear primary
train_499__fliph,bare_ground clear primary
train_499__flipv,bare_ground clear primary
train_499__rot30,bare_ground clear primary
train_499__rot60,bare_ground clear primary
train_499__trans20_10,bare_ground clear primary
train_519,blooming clear primary
train_519__fliph,blooming clear primary
train_519__flipv,blooming clear primary
train_519__rot30,blooming clear primary
train_519__rot60,blooming clear primary
train_519__trans20_10,blooming clear primary
train_521,bare_ground blow_down clear primary slash_burn
train_521__fliph,bare_ground blow_down clear primary slash_burn
train_521__flipv,bare_ground blow_down clear primary slash_burn
train_521__rot30,bare_ground blow_down clear primary slash_burn
train_521__rot60,bare_ground blow_down clear primary slash_burn
train_521__trans20_10,bare_ground blow_down clear primary slash_burn
train_529,blooming clear primary
train_529__fliph,blooming clear primary
train_529__flipv,blooming clear primary
train_529__rot30,blooming clear primary
train_529__rot60,blooming clear primary
train_529__trans20_10,blooming clear primary
train_535,blow_down clear primary
train_535__fliph,blow_down clear primary
train_535__flipv,blow_down clear primary
train_535__rot30,blow_down clear primary
train_535__rot60,blow_down clear primary
train_535__trans20_10,blow_down clear primary
train_537,blooming clear primary
train_537__fliph,blooming clear primary
train_537__flipv,blooming clear primary
train_537__rot30,blooming clear primary
train_537__rot60,blooming clear primary
train_537__trans20_10,blooming clear primary
train_544,clear primary selective_logging
train_544__fliph,clear primary selective_logging
train_544__flipv,clear primary selective_logging
train_544__rot30,clear primary selective_logging
train_544__rot60,clear primary selective_logging
train_544__trans20_10,clear primary selective_logging
train_566,blooming clear primary
train_566__fliph,blooming clear primary
train_566__flipv,blooming clear primary
train_566__rot30,blooming clear primary
train_566__rot60,blooming clear primary
train_566__trans20_10,blooming clear primary
train_570,bare_ground clear road
train_570__fliph,bare_ground clear road
train_570__flipv,bare_ground clear road
train_570__rot30,bare_ground clear road
train_570__rot60,bare_ground clear road
train_570__trans20_10,bare_ground clear road
train_597,agriculture blooming clear primary road water
train_597__fliph,agriculture blooming clear primary road water
train_597__flipv,agriculture blooming clear primary road water
train_597__rot30,agriculture blooming clear primary road water
train_597__rot60,agriculture blooming clear primary road water
train_597__trans20_10,agriculture blooming clear primary road water
train_609,bare_ground clear primary
train_609__fliph,bare_ground clear primary
train_609__flipv,bare_ground clear primary
train_609__rot30,bare_ground clear primary
train_609__rot60,bare_ground clear primary
train_609__trans20_10,bare_ground clear primary
train_659,blooming partly_cloudy primary
train_659__fliph,blooming partly_cloudy primary
train_659__flipv,blooming partly_cloudy primary
train_659__rot30,blooming partly_cloudy primary
train_659__rot60,blooming partly_cloudy primary
train_659__trans20_10,blooming partly_cloudy primary
train_696,agriculture clear cultivation primary road selective_logging
train_696__fliph,agriculture clear cultivation primary road selective_logging
train_696__flipv,agriculture clear cultivation primary road selective_logging
train_696__rot30,agriculture clear cultivation primary road selective_logging
train_696__rot60,agriculture clear cultivation primary road selective_logging
train_696__trans20_10,agriculture clear cultivation primary road selective_logging
train_698,bare_ground clear primary
train_698__fliph,bare_ground clear primary
train_698__flipv,bare_ground clear primary
train_698__rot30,bare_ground clear primary
train_698__rot60,bare_ground clear primary
train_698__trans20_10,bare_ground clear primary
train_703,blow_down clear primary
train_703__fliph,blow_down clear primary
train_703__flipv,blow_down clear primary
train_703__rot30,blow_down clear primary
train_703__rot60,blow_down clear primary
train_703__trans20_10,blow_down clear primary
train_712,blooming clear primary
train_712__fliph,blooming clear primary
train_712__flipv,blooming clear primary
train_712__rot30,blooming clear primary
train_712__rot60,blooming clear primary
train_712__trans20_10,blooming clear primary
train_718,bare_ground clear primary water
train_718__fliph,bare_ground clear primary water
train_718__flipv,bare_ground clear primary water
train_718__rot30,bare_ground clear primary water
train_718__rot60,bare_ground clear primary water
train_718__trans20_10,bare_ground clear primary water
train_728,agriculture clear cultivation habitation primary road slash_burn
train_728__fliph,agriculture clear cultivation habitation primary road slash_burn
train_728__flipv,agriculture clear cultivation habitation primary road slash_burn
train_728__rot30,agriculture clear cultivation habitation primary road slash_burn
train_728__rot60,agriculture clear cultivation habitation primary road slash_burn
train_728__trans20_10,agriculture clear cultivation habitation primary road slash_burn
train_746,clear primary road selective_logging
train_746__fliph,clear primary road selective_logging
train_746__flipv,clear primary road selective_logging
train_746__rot30,clear primary road selective_logging
train_746__rot60,clear primary road selective_logging
train_746__trans20_10,clear primary road selective_logging
train_795,bare_ground clear primary road
train_795__fliph,bare_ground clear primary road
train_795__flipv,bare_ground clear primary road
train_795__rot30,bare_ground clear primary road
train_795__rot60,bare_ground clear primary road
train_795__trans20_10,bare_ground clear primary road
train_825,bare_ground clear cultivation habitation primary water
train_825__fliph,bare_ground clear cultivation habitation primary water
train_825__flipv,bare_ground clear cultivation habitation primary water
train_825__rot30,bare_ground clear cultivation habitation primary water
train_825__rot60,bare_ground clear cultivation habitation primary water
train_825__trans20_10,bare_ground clear cultivation habitation primary water
train_864,clear primary blooming
train_864__fliph,clear primary blooming
train_864__flipv,clear primary blooming
train_864__rot30,clear primary blooming
train_864__rot60,clear primary blooming
train_864__trans20_10,clear primary blooming
train_871,clear primary road selective_logging
train_871__fliph,clear primary road selective_logging
train_871__flipv,clear primary road selective_logging
train_871__rot30,clear primary road selective_logging
train_871__rot60,clear primary road selective_logging
train_871__trans20_10,clear primary road selective_logging
train_892,clear primary blooming
train_892__fliph,clear primary blooming
train_892__flipv,clear primary blooming
train_892__rot30,clear primary blooming
train_892__rot60,clear primary blooming
train_892__trans20_10,clear primary blooming
train_897,blooming partly_cloudy primary
train_897__fliph,blooming partly_cloudy primary
train_897__flipv,blooming partly_cloudy primary
train_897__rot30,blooming partly_cloudy primary
train_897__rot60,blooming partly_cloudy primary
train_897__trans20_10,blooming partly_cloudy primary
train_924,blow_down clear primary
train_924__fliph,blow_down clear primary
train_924__flipv,blow_down clear primary
train_924__rot30,blow_down clear primary
train_924__rot60,blow_down clear primary
train_924__trans20_10,blow_down clear primary
train_974,bare_ground clear primary road water
train_974__fliph,bare_ground clear primary road water
train_974__flipv,bare_ground clear primary road water
train_974__rot30,bare_ground clear primary road water
train_974__rot60,bare_ground clear primary road water
train_974__trans20_10,bare_ground clear primary road water
train_994,artisinal_mine partly_cloudy primary water
train_994__fliph,artisinal_mine partly_cloudy primary water
train_994__flipv,artisinal_mine partly_cloudy primary water
train_994__rot30,artisinal_mine partly_cloudy primary water
train_994__rot60,artisinal_mine partly_cloudy primary water
train_994__trans20_10,artisinal_mine partly_cloudy primary water
train_997,artisinal_mine clear primary road selective_logging water
train_997__fliph,artisinal_mine clear primary road selective_logging water
train_997__flipv,artisinal_mine clear primary road selective_logging water
train_997__rot30,artisinal_mine clear primary road selective_logging water
train_997__rot60,artisinal_mine clear primary road selective_logging water
train_997__trans20_10,artisinal_mine clear primary road selective_logging water
train_1064,bare_ground clear primary
train_1064__fliph,bare_ground clear primary
train_1064__flipv,bare_ground clear primary
train_1064__rot30,bare_ground clear primary
train_1064__rot60,bare_ground clear primary
train_1064__trans20_10,bare_ground clear primary
train_1087,agriculture clear primary road slash_burn
train_1087__fliph,agriculture clear primary road slash_burn
train_1087__flipv,agriculture clear primary road slash_burn
train_1087__rot30,agriculture clear primary road slash_burn
train_1087__rot60,agriculture clear primary road slash_burn
train_1087__trans20_10,agriculture clear primary road slash_burn
train_1115,artisinal_mine clear primary
train_1115__fliph,artisinal_mine clear primary
train_1115__flipv,artisinal_mine clear primary
train_1115__rot30,artisinal_mine clear primary
train_1115__rot60,artisinal_mine clear primary
train_1115__trans20_10,artisinal_mine clear primary
train_1163,clear cultivation primary slash_burn
train_1163__fliph,clear cultivation primary slash_burn
train_1163__flipv,clear cultivation primary slash_burn
train_1163__rot30,clear cultivation primary slash_burn
train_1163__rot60,clear cultivation primary slash_burn
train_1163__trans20_10,clear cultivation primary slash_burn
train_1181,clear primary road selective_logging
train_1181__fliph,clear primary road selective_logging
train_1181__flipv,clear primary road selective_logging
train_1181__rot30,clear primary road selective_logging
train_1181__rot60,clear primary road selective_logging
train_1181__trans20_10,clear primary road selective_logging
train_1183,partly_cloudy primary road selective_logging
train_1183__fliph,partly_cloudy primary road selective_logging
train_1183__flipv,partly_cloudy primary road selective_logging
train_1183__rot30,partly_cloudy primary road selective_logging
train_1183__rot60,partly_cloudy primary road selective_logging
train_1183__trans20_10,partly_cloudy primary road selective_logging
train_1201,bare_ground clear cultivation primary
train_1201__fliph,bare_ground clear cultivation primary
train_1201__flipv,bare_ground clear cultivation primary
train_1201__rot30,bare_ground clear cultivation primary
train_1201__rot60,bare_ground clear cultivation primary
train_1201__trans20_10,bare_ground clear cultivation primary
train_1204,bare_ground clear primary
train_1204__fliph,bare_ground clear primary
train_1204__flipv,bare_ground clear primary
train_1204__rot30,bare_ground clear primary
train_1204__rot60,bare_ground clear primary
train_1204__trans20_10,bare_ground clear primary
train_1211,bare_ground clear habitation primary
train_1211__fliph,bare_ground clear habitation primary
train_1211__flipv,bare_ground clear habitation primary
train_1211__rot30,bare_ground clear habitation primary
train_1211__rot60,bare_ground clear habitation primary
train_1211__trans20_10,bare_ground clear habitation primary
train_1223,bare_ground clear primary road water
train_1223__fliph,bare_ground clear primary road water
train_1223__flipv,bare_ground clear primary road water
train_1223__rot30,bare_ground clear primary road water
train_1223__rot60,bare_ground clear primary road water
train_1223__trans20_10,bare_ground clear primary road water
train_1273,agriculture bare_ground clear cultivation primary
train_1273__fliph,agriculture bare_ground clear cultivation primary
train_1273__flipv,agriculture bare_ground clear cultivation primary
train_1273__rot30,agriculture bare_ground clear cultivation primary
train_1273__rot60,agriculture bare_ground clear cultivation primary
train_1273__trans20_10,agriculture bare_ground clear cultivation primary
train_1278,agriculture clear primary slash_burn
train_1278__fliph,agriculture clear primary slash_burn
train_1278__flipv,agriculture clear primary slash_burn
train_1278__rot30,agriculture clear primary slash_burn
train_1278__rot60,agriculture clear primary slash_burn
train_1278__trans20_10,agriculture clear primary slash_burn
train_1316,blooming clear primary
train_1316__fliph,blooming clear primary
train_1316__flipv,blooming clear primary
train_1316__rot30,blooming clear primary
train_1316__rot60,blooming clear primary
train_1316__trans20_10,blooming clear primary
train_1319,agriculture clear habitation primary road slash_burn
train_1319__fliph,agriculture clear habitation primary road slash_burn
train_1319__flipv,agriculture clear habitation primary road slash_burn
train_1319__rot30,agriculture clear habitation primary road slash_burn
train_1319__rot60,agriculture clear habitation primary road slash_burn
train_1319__trans20_10,agriculture clear habitation primary road slash_burn
train_1334,bare_ground clear primary road
train_1334__fliph,bare_ground clear primary road
train_1334__flipv,bare_ground clear primary road
train_1334__rot30,bare_ground clear primary road
train_1334__rot60,bare_ground clear primary road
train_1334__trans20_10,bare_ground clear primary road
train_1337,clear primary selective_logging water
train_1337__fliph,clear primary selective_logging water
train_1337__flipv,clear primary selective_logging water
train_1337__rot30,clear primary selective_logging water
train_1337__rot60,clear primary selective_logging water
train_1337__trans20_10,clear primary selective_logging water
train_1340,agriculture artisinal_mine clear cultivation habitation primary water
train_1340__fliph,agriculture artisinal_mine clear cultivation habitation primary water
train_1340__flipv,agriculture artisinal_mine clear cultivation habitation primary water
train_1340__rot30,agriculture artisinal_mine clear cultivation habitation primary water
train_1340__rot60,agriculture artisinal_mine clear cultivation habitation primary water
train_1340__trans20_10,agriculture artisinal_mine clear cultivation habitation primary water
train_1386,clear primary selective_logging
train_1386__fliph,clear primary selective_logging
train_1386__flipv,clear primary selective_logging
train_1386__rot30,clear primary selective_logging
train_1386__rot60,clear primary selective_logging
train_1386__trans20_10,clear primary selective_logging
train_1408,bare_ground clear primary
train_1408__fliph,bare_ground clear primary
train_1408__flipv,bare_ground clear primary
train_1408__rot30,bare_ground clear primary
train_1408__rot60,bare_ground clear primary
train_1408__trans20_10,bare_ground clear primary
train_1409,blooming clear primary
train_1409__fliph,blooming clear primary
train_1409__flipv,blooming clear primary
train_1409__rot30,blooming clear primary
train_1409__rot60,blooming clear primary
train_1409__trans20_10,blooming clear primary
train_1411,bare_ground clear primary
train_1411__fliph,bare_ground clear primary
train_1411__flipv,bare_ground clear primary
train_1411__rot30,bare_ground clear primary
train_1411__rot60,bare_ground clear primary
train_1411__trans20_10,bare_ground clear primary
train_1421,bare_ground clear primary road
train_1421__fliph,bare_ground clear primary road
train_1421__flipv,bare_ground clear primary road
train_1421__rot30,bare_ground clear primary road
train_1421__rot60,bare_ground clear primary road
train_1421__trans20_10,bare_ground clear primary road
train_1436,artisinal_mine clear primary water
train_1436__fliph,artisinal_mine clear primary water
train_1436__flipv,artisinal_mine clear primary water
train_1436__rot30,artisinal_mine clear primary water
train_1436__rot60,artisinal_mine clear primary water
train_1436__trans20_10,artisinal_mine clear primary water
train_1465,agriculture clear cultivation cultivation habitation primary road slash_burn water
train_1465__fliph,agriculture clear cultivation cultivation habitation primary road slash_burn water
train_1465__flipv,agriculture clear cultivation cultivation habitation primary road slash_burn water
train_1465__rot30,agriculture clear cultivation cultivation habitation primary road slash_burn water
train_1465__rot60,agriculture clear cultivation cultivation habitation primary road slash_burn water
train_1465__trans20_10,agriculture clear cultivation cultivation habitation primary road slash_burn water
train_1476,agriculture bare_ground clear habitation road
train_1476__fliph,agriculture bare_ground clear habitation road
train_1476__flipv,agriculture bare_ground clear habitation road
train_1476__rot30,agriculture bare_ground clear habitation road
train_1476__rot60,agriculture bare_ground clear habitation road
train_1476__trans20_10,agriculture bare_ground clear habitation road
train_1502,clear cultivation primary slash_burn
train_1502__fliph,clear cultivation primary slash_burn
train_1502__flipv,clear cultivation primary slash_burn
train_1502__rot30,clear cultivation primary slash_burn
train_1502__rot60,clear cultivation primary slash_burn
train_1502__trans20_10,clear cultivation primary slash_burn
train_1533,artisinal_mine clear primary water
train_1533__fliph,artisinal_mine clear primary water
train_1533__flipv,artisinal_mine clear primary water
train_1533__rot30,artisinal_mine clear primary water
train_1533__rot60,artisinal_mine clear primary water
train_1533__trans20_10,artisinal_mine clear primary water
train_1564,agriculture clear habitation primary slash_burn water
train_1564__fliph,agriculture clear habitation primary slash_burn water
train_1564__flipv,agriculture clear habitation primary slash_burn water
train_1564__rot30,agriculture clear habitation primary slash_burn water
train_1564__rot60,agriculture clear habitation primary slash_burn water
train_1564__trans20_10,agriculture clear habitation primary slash_burn water
train_1566,agriculture bare_ground clear habitation primary
train_1566__fliph,agriculture bare_ground clear habitation primary
train_1566__flipv,agriculture bare_ground clear habitation primary
train_1566__rot30,agriculture bare_ground clear habitation primary
train_1566__rot60,agriculture bare_ground clear habitation primary
train_1566__trans20_10,agriculture bare_ground clear habitation primary
train_1589,blooming clear cultivation primary
train_1589__fliph,blooming clear cultivation primary
train_1589__flipv,blooming clear cultivation primary
train_1589__rot30,blooming clear cultivation primary
train_1589__rot60,blooming clear cultivation primary
train_1589__trans20_10,blooming clear cultivation primary
train_1623,bare_ground clear primary
train_1623__fliph,bare_ground clear primary
train_1623__flipv,bare_ground clear primary
train_1623__rot30,bare_ground clear primary
train_1623__rot60,bare_ground clear primary
train_1623__trans20_10,bare_ground clear primary
train_1669,blooming clear primary
train_1669__fliph,blooming clear primary
train_1669__flipv,blooming clear primary
train_1669__rot30,blooming clear primary
train_1669__rot60,blooming clear primary
train_1669__trans20_10,blooming clear primary
train_1672,clear primary road selective_logging
train_1672__fliph,clear primary road selective_logging
train_1672__flipv,clear primary road selective_logging
train_1672__rot30,clear primary road selective_logging
train_1672__rot60,clear primary road selective_logging
train_1672__trans20_10,clear primary road selective_logging
train_1689,artisinal_mine clear primary water
train_1689__fliph,artisinal_mine clear primary water
train_1689__flipv,artisinal_mine clear primary water
train_1689__rot30,artisinal_mine clear primary water
train_1689__rot60,artisinal_mine clear primary water
train_1689__trans20_10,artisinal_mine clear primary water
train_1721,clear primary selective_logging
train_1721__fliph,clear primary selective_logging
train_1721__flipv,clear primary selective_logging
train_1721__rot30,clear primary selective_logging
train_1721__rot60,clear primary selective_logging
train_1721__trans20_10,clear primary selective_logging
train_1733,blooming clear primary
train_1733__fliph,blooming clear primary
train_1733__flipv,blooming clear primary
train_1733__rot30,blooming clear primary
train_1733__rot60,blooming clear primary
train_1733__trans20_10,blooming clear primary
train_1807,blooming clear primary
train_1807__fliph,blooming clear primary
train_1807__flipv,blooming clear primary
train_1807__rot30,blooming clear primary
train_1807__rot60,blooming clear primary
train_1807__trans20_10,blooming clear primary
train_1808,clear primary blooming
train_1808__fliph,clear primary blooming
train_1808__flipv,clear primary blooming
train_1808__rot30,clear primary blooming
train_1808__rot60,clear primary blooming
train_1808__trans20_10,clear primary blooming
train_1810,clear primary blooming
train_1810__fliph,clear primary blooming
train_1810__flipv,clear primary blooming
train_1810__rot30,clear primary blooming
train_1810__rot60,clear primary blooming
train_1810__trans20_10,clear primary blooming
train_1847,artisinal_mine clear primary water
train_1847__fliph,artisinal_mine clear primary water
train_1847__flipv,artisinal_mine clear primary water
train_1847__rot30,artisinal_mine clear primary water
train_1847__rot60,artisinal_mine clear primary water
train_1847__trans20_10,artisinal_mine clear primary water
train_1857,partly_cloudy primary slash_burn
train_1857__fliph,partly_cloudy primary slash_burn
train_1857__flipv,partly_cloudy primary slash_burn
train_1857__rot30,partly_cloudy primary slash_burn
train_1857__rot60,partly_cloudy primary slash_burn
train_1857__trans20_10,partly_cloudy primary slash_burn
train_1879,cultivation partly_cloudy primary selective_logging
train_1879__fliph,cultivation partly_cloudy primary selective_logging
train_1879__flipv,cultivation partly_cloudy primary selective_logging
train_1879__rot30,cultivation partly_cloudy primary selective_logging
train_1879__rot60,cultivation partly_cloudy primary selective_logging
